2020 National Employment Matrix title,2020 National Employment Matrix code,Occupation type,"Employment, 2020","Employment, 2030","Employment change, 2020–30","Percent employment change, 2020–30","Percent self employed, 2020","Occupational openings, 2020–30 annual average","Median annual wage, 2021(1)",Typical education needed for entry,Work experience in a related occupation,Typical on-the-job training needed to attain competency in the occupation
Cardiovascular technologists and technicians,29-2031,Line item,58.2,63.0,4.7,8.1,2.7,4.7,"$60,570",Associate's degree,None,None
Diagnostic medical sonographers,29-2032,Line item,75.9,90.3,14.4,19.0,1.3,7.3,"$77,740",Associate's degree,None,None
Nuclear medicine technologists,29-2033,Line item,18.3,19.7,1.4,7.8,3.2,1.5,"$78,760",Associate's degree,None,None
Radiologic technologists and technicians,29-2034,Line item,212.1,230.3,18.3,8.6,1.0,17.4,"$61,370",Associate's degree,None,None
Magnetic resonance imaging technologists,29-2035,Line item,42.0,45.3,3.4,8.1,5.1,3.4,"$77,360",Associate's degree,Less than 5 years,None
Emergency medical technicians and paramedics,29-2040,Line item,261.3,289.9,28.6,11.0,0.2,20.7,"$36,930",Postsecondary nondegree award,None,None
Health practitioner support technologists and technicians,29-2050,Summary,822.7,888.4,65.7,8.0,0.4,66.7,"$36,980",—,—,—
Dietetic technicians,29-2051,Line item,26.8,28.8,2.0,7.4,0.4,2.2,"$29,520",Associate's degree,None,None
Pharmacy technicians,29-2052,Line item,419.3,435.9,16.6,4.0,0.1,31.7,"$36,740",High school diploma or equivalent,None,Moderate-term on-the-job training
Psychiatric technicians,29-2053,Line item,91.6,103.3,11.7,12.8,1.5,8.0,"$36,570",Postsecondary nondegree award,Less than 5 years,Short-term on-the-job training
Surgical technologists,29-2055,Line item,109.7,119.2,9.5,8.7,0.9,9.0,"$48,530",Postsecondary nondegree award,None,None
Veterinary technologists and technicians,29-2056,Line item,114.4,131.5,17.1,14.9,—,10.4,"$36,850",Associate's degree,None,None
Ophthalmic medical technicians,29-2057,Line item,60.9,69.6,8.7,14.3,0.5,5.5,"$37,180",Postsecondary nondegree award,None,None
Licensed practical and licensed vocational nurses,29-2061,Line item,688.1,751.9,63.8,9.3,0.7,60.7,"$48,070",Postsecondary nondegree award,None,None
"Opticians, dispensing",29-2081,Line item,69.8,74.2,4.3,6.2,2.4,5.9,"$37,570",High school diploma or equivalent,None,Long-term on-the-job training
Orthotists and prosthetists,29-2091,Line item,10.1,12.0,1.9,18.4,3.1,1.0,"$75,440",Master's degree,None,Internship/residency
Hearing aid specialists,29-2092,Line item,8.0,8.9,0.9,11.3,3.4,0.7,"$59,500",High school diploma or equivalent,None,Moderate-term on-the-job training
"Medical dosimetrists, medical records specialists, and health technologists and technicians, all other",29-2098,Line item,335.0,363.6,28.6,8.5,3.1,27.4,—,Postsecondary nondegree award,None,None
Other healthcare practitioners and technical occupations,29-9000,Summary,113.9,130.1,16.2,14.2,2.7,10.2,"$54,480",—,—,—
Athletic trainers,29-9091,Line item,30.0,37.0,7.0,23.4,2.5,3.1,"$48,420",Bachelor's degree,None,None
Genetic counselors,29-9092,Line item,2.4,3.1,0.6,26.2,3.0,0.3,"$80,150",Master's degree,None,None
"Health information technologists, medical registrars, surgical assistants, and healthcare practitioners and technical workers, all other",29-9098,Line item,81.4,89.9,8.6,10.5,2.8,6.9,—,Postsecondary nondegree award,None,None
Healthcare support occupations,31-0000,Summary,6837.8,8418.0,1580.1,23.1,2.5,1075.9,"$29,880",—,—,—
"Home health and personal care aides; and nursing assistants, orderlies, and psychiatric aides",31-1100,Summary,4965.4,6217.8,1252.4,25.2,2.2,799.8,"$29,620",—,—,—
Home health and personal care aides,31-1120,Line item,3470.7,4600.6,1129.9,32.6,2.7,599.8,"$29,430",High school diploma or equivalent,None,Short-term on-the-job training
"Nursing assistants, orderlies, and psychiatric aides",31-1130,Summary,1494.8,1617.2,122.5,8.2,1.0,200.0,"$30,290",—,—,—
Nursing assistants,31-1131,Line item,1396.7,1512.0,115.3,8.3,1.1,187.0,"$30,310",Postsecondary nondegree award,None,None
Orderlies,31-1132,Line item,44.0,47.2,3.2,7.2,—,5.8,"$29,990",High school diploma or equivalent,None,Short-term on-the-job training
Psychiatric aides,31-1133,Line item,54.1,58.1,4.0,7.4,—,7.2,"$30,260",High school diploma or equivalent,None,Short-term on-the-job training
Occupational therapy and physical therapist assistants and aides,31-2000,Summary,189.5,251.3,61.8,32.6,0.1,32.5,"$57,980",—,—,—
Occupational therapy assistants and aides,31-2010,Summary,49.0,65.9,16.8,34.3,0.3,8.8,"$61,520",—,—,—
Occupational therapy assistants,31-2011,Line item,43.3,58.9,15.6,36.1,0.3,7.8,"$61,730",Associate's degree,None,None
Occupational therapy aides,31-2012,Line item,5.8,7.0,1.2,21.4,—,0.9,"$33,560",High school diploma or equivalent,None,Short-term on-the-job training
Physical therapist assistants and aides,31-2020,Summary,140.5,185.4,44.9,32.0,—,23.8,"$49,180",—,—,—
Physical therapist assistants,31-2021,Line item,93.8,126.9,33.2,35.4,—,16.4,"$61,180",Associate's degree,None,None
Physical therapist aides,31-2022,Line item,46.7,58.5,11.8,25.3,—,7.4,"$29,200",High school diploma or equivalent,None,Short-term on-the-job training
Other healthcare support occupations,31-9000,Summary,1682.9,1948.9,266.0,15.8,3.7,243.5,"$37,370",—,—,—
Massage therapists,31-9011,Line item,144.6,191.1,46.5,32.2,38.1,23.3,"$46,910",Postsecondary nondegree award,None,None
Miscellaneous healthcare support occupations,31-9090,Summary,1538.3,1757.8,219.5,14.3,0.5,220.3,"$37,310",—,—,—
Dental assistants,31-9091,Line item,330.2,367.0,36.9,11.2,0.1,44.0,"$38,660",Postsecondary nondegree award,None,None
Medical assistants,31-9092,Line item,720.9,853.5,132.6,18.4,0.2,104.4,"$37,190",Postsecondary nondegree award,None,None
Medical equipment preparers,31-9093,Line item,58.7,63.6,4.9,8.4,1.5,7.9,"$38,220",High school diploma or equivalent,None,Moderate-term on-the-job training
Medical transcriptionists,31-9094,Line item,52.4,48.5,-3.9,-7.4,5.6,6.6,"$30,100",Postsecondary nondegree award,None,None
Pharmacy aides,31-9095,Line item,38.9,33.2,-5.7,-14.7,—,4.1,"$29,930",High school diploma or equivalent,None,Short-term on-the-job training
Veterinary assistants and laboratory animal caretakers,31-9096,Line item,107.2,122.5,15.3,14.3,0.4,19.8,"$29,780",High school diploma or equivalent,None,Short-term on-the-job training
Phlebotomists,31-9097,Line item,129.6,158.4,28.8,22.2,0.4,19.5,"$37,380",Postsecondary nondegree award,None,None
"Healthcare support workers, all other",31-9099,Line item,100.5,111.0,10.6,10.5,1.2,13.9,"$37,740",High school diploma or equivalent,None,None
Protective service occupations,33-0000,Summary,3417.2,3703.7,286.4,8.4,0.3,427.5,"$46,590",—,—,—
Supervisors of protective service workers,33-1000,Summary,332.8,353.9,21.1,6.3,0.4,27.5,"$77,290",—,—,—
First-line supervisors of law enforcement workers,33-1010,Summary,181.2,188.1,7.0,3.8,—,13.2,"$81,430",—,—,—
First-line supervisors of correctional officers,33-1011,Line item,55.3,53.8,-1.5,-2.8,—,4.1,"$62,220",High school diploma or equivalent,Less than 5 years,None
First-line supervisors of police and detectives,33-1012,Line item,125.8,134.3,8.5,6.8,—,9.1,"$99,330",High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training
First-line supervisors of firefighting and prevention workers,33-1021,Line item,70.2,76.0,5.8,8.2,—,5.3,"$78,230",Postsecondary nondegree award,Less than 5 years,Moderate-term on-the-job training
"Miscellaneous first-line supervisors, protective service workers",33-1090,Line item,81.4,89.8,8.3,10.2,1.7,9.0,"$52,480",High school diploma or equivalent,Less than 5 years,None
Firefighting and prevention workers,33-2000,Summary,334.9,363.8,28.9,8.6,0.1,29.1,"$50,930",—,—,—
Firefighters,33-2011,Line item,317.2,344.1,26.9,8.5,—,27.0,"$50,700",Postsecondary nondegree award,None,Long-term on-the-job training
Fire inspectors,33-2020,Summary,17.7,19.7,2.0,11.5,2.5,2.1,"$63,080",—,—,—
Fire inspectors and investigators,33-2021,Line item,14.7,16.0,1.3,8.9,2.9,1.7,"$64,600",Postsecondary nondegree award,5 years or more,Moderate-term on-the-job training
Forest fire inspectors and prevention specialists,33-2022,Line item,3.0,3.7,0.7,23.9,—,0.4,"$42,600",High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training
Law enforcement workers,33-3000,Summary,1239.9,1259.0,19.1,1.5,0.1,103.2,"$61,190",—,—,—
"Bailiffs, correctional officers, and jailers",33-3010,Summary,437.1,407.2,-29.9,-6.8,—,35.7,"$47,920",—,—,—
Bailiffs,33-3011,Line item,18.5,18.6,0.1,0.4,—,1.7,"$48,320",High school diploma or equivalent,None,Moderate-term on-the-job training
Correctional officers and jailers,33-3012,Line item,418.5,388.5,-30.0,-7.2,—,34.0,"$47,920",High school diploma or equivalent,None,Moderate-term on-the-job training
Detectives and criminal investigators,33-3021,Line item,112.5,115.3,2.8,2.5,—,8.4,"$83,640",High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training
Fish and game wardens,33-3031,Line item,7.5,7.5,0.0,0.2,—,0.8,"$60,730",Bachelor's degree,None,Moderate-term on-the-job training
Parking enforcement workers,33-3041,Line item,7.9,5.1,-2.8,-35.0,—,0.4,"$46,590",High school diploma or equivalent,None,Short-term on-the-job training
Police officers,33-3050,Summary,674.9,723.8,48.9,7.2,0.1,57.9,"$64,610",—,—,—
Police and sheriff's patrol officers,33-3051,Line item,671.2,719.8,48.6,7.2,0.1,57.6,"$64,610",High school diploma or equivalent,None,Moderate-term on-the-job training
Transit and railroad police,33-3052,Line item,3.8,4.1,0.3,8.6,2.3,0.3,"$64,930",High school diploma or equivalent,None,Moderate-term on-the-job training
Other protective service workers,33-9000,Summary,1509.7,1727.1,217.4,14.4,0.4,267.7,"$31,550",—,—,—
Animal control workers,33-9011,Line item,11.8,13.0,1.2,10.5,—,1.2,"$39,160",High school diploma or equivalent,None,Moderate-term on-the-job training
Private detectives and investigators,33-9021,Line item,33.7,38.1,4.4,13.2,4.5,3.5,"$59,380",High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training
Security guards and gambling surveillance officers,33-9030,Summary,1067.7,1223.3,155.6,14.6,0.4,165.0,"$31,470",—,—,—
Gambling surveillance officers and gambling investigators,33-9031,Line item,8.7,10.1,1.4,15.5,—,1.4,"$35,450",High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training
Security guards,33-9032,Line item,1059.0,1213.2,154.2,14.6,0.4,163.6,"$31,470",High school diploma or equivalent,None,Short-term on-the-job training
Miscellaneous protective service workers,33-9090,Summary,396.5,452.6,56.1,14.2,—,98.1,"$31,430",—,—,—
Crossing guards and flaggers,33-9091,Line item,85.5,97.0,11.5,13.4,—,19.1,"$31,450",No formal educational credential,None,Short-term on-the-job training
"Lifeguards, ski patrol, and other recreational protective service workers",33-9092,Line item,117.5,146.3,28.7,24.5,—,35.7,"$25,630",No formal educational credential,None,Short-term on-the-job training
Transportation security screeners,33-9093,Line item,51.8,51.9,0.1,0.2,—,4.5,"$45,470",High school diploma or equivalent,None,Short-term on-the-job training
"School bus monitors and protective service workers, all other",33-9098,Line item,141.6,157.4,15.8,11.2,—,38.8,"$35,260",High school diploma or equivalent,None,Short-term on-the-job training
Food preparation and serving related occupations,35-0000,Summary,11553.3,13820.8,2267.6,19.6,0.6,2475.3,"$28,400",—,—,—
Supervisors of food preparation and serving workers,35-1000,Summary,1026.1,1244.8,218.8,21.3,1.8,185.9,"$37,130",—,—,—
Chefs and head cooks,35-1011,Line item,110.7,138.7,28.0,25.3,5.3,18.8,"$50,160",High school diploma or equivalent,5 years or more,None
First-line supervisors of food preparation and serving workers,35-1012,Line item,915.4,1106.1,190.8,20.8,1.4,167.2,"$36,570",High school diploma or equivalent,Less than 5 years,None
Cooks and food preparation workers,35-2000,Summary,3102.7,3749.9,647.2,20.9,1.3,581.7,"$29,100",—,—,—
Cooks,35-2010,Summary,2281.4,2876.1,594.6,26.1,1.4,432.0,"$29,120",—,—,—
"Cooks, fast food",35-2011,Line item,547.8,536.2,-11.6,-2.1,—,77.1,"$24,180",No formal educational credential,None,Short-term on-the-job training
"Cooks, institution and cafeteria",35-2012,Line item,394.6,421.5,27.0,6.8,—,61.6,"$29,910",No formal educational credential,None,Short-term on-the-job training
"Cooks, private household",35-2013,Line item,40.9,41.8,0.9,2.1,78.9,6.1,"$42,920",Postsecondary nondegree award,Less than 5 years,None
"Cooks, restaurant",35-2014,Line item,1153.2,1716.7,563.5,48.9,—,263.6,"$30,010",No formal educational credential,Less than 5 years,Moderate-term on-the-job training
"Cooks, short order",35-2015,Line item,124.5,136.4,11.9,9.6,—,20.0,"$28,560",No formal educational credential,None,Short-term on-the-job training
"Cooks, all other",35-2019,Line item,20.5,23.3,2.9,14.0,—,3.5,"$30,720",No formal educational credential,None,Moderate-term on-the-job training
Food preparation workers,35-2021,Line item,821.2,873.8,52.6,6.4,0.9,149.8,"$28,780",No formal educational credential,None,Short-term on-the-job training
Food and beverage serving workers,35-3000,Summary,6222.3,7342.0,1119.7,18.0,0.2,1431.7,"$26,000",—,—,—
Bartenders,35-3011,Line item,492.3,652.3,159.9,32.5,0.4,111.3,"$26,350",No formal educational credential,None,Short-term on-the-job training
Fast food and counter workers,35-3023,Line item,3455.5,3973.0,517.5,15.0,0.1,804.6,"$25,100",No formal educational credential,None,Short-term on-the-job training
Waiters and waitresses,35-3031,Line item,2023.2,2430.7,407.6,20.1,0.2,470.2,"$26,000",No formal educational credential,None,Short-term on-the-job training
"Food servers, nonrestaurant",35-3041,Line item,251.3,286.0,34.7,13.8,—,45.7,"$28,730",No formal educational credential,None,Short-term on-the-job training
Other food preparation and serving related workers,35-9000,Summary,1202.2,1484.0,281.8,23.4,0.4,275.9,"$27,400",—,—,—
Dining room and cafeteria attendants and bartender helpers,35-9011,Line item,389.0,492.5,103.6,26.6,0.3,86.5,"$27,170",No formal educational credential,None,Short-term on-the-job training
Dishwashers,35-9021,Line item,408.5,486.3,77.8,19.0,0.3,78.8,"$28,130",No formal educational credential,None,Short-term on-the-job training
"Hosts and hostesses, restaurant, lounge, and coffee shop",35-9031,Line item,333.6,417.8,84.2,25.3,0.6,95.2,"$24,600",No formal educational credential,None,Short-term on-the-job training
"Food preparation and serving related workers, all other",35-9099,Line item,71.2,87.4,16.2,22.8,—,15.3,"$29,120",No formal educational credential,None,Short-term on-the-job training
Building and grounds cleaning and maintenance occupations,37-0000,Summary,5168.8,5555.6,386.8,7.5,13.2,733.8,"$30,240",—,—,—
Supervisors of building and grounds cleaning and maintenance workers,37-1000,Summary,406.9,427.4,20.5,5.1,39.0,47.1,"$46,640",—,—,—
First-line supervisors of housekeeping and janitorial workers,37-1011,Line item,225.5,238.8,13.2,5.9,36.0,27.3,"$39,630",High school diploma or equivalent,Less than 5 years,None
"First-line supervisors of landscaping, lawn service, and groundskeeping workers",37-1012,Line item,181.3,188.6,7.3,4.0,42.8,19.7,"$48,800",High school diploma or equivalent,Less than 5 years,None
Building cleaning and pest control workers,37-2000,Summary,3535.0,3808.7,273.7,7.7,7.7,513.5,"$29,640",—,—,—
Building cleaning workers,37-2010,Summary,3448.2,3713.6,265.4,7.7,7.8,500.7,"$29,540",—,—,—
"Janitors and cleaners, except maids and housekeeping cleaners",37-2011,Line item,2217.0,2344.2,127.2,5.7,5.6,314.9,"$29,760",No formal educational credential,None,Short-term on-the-job training
Maids and housekeeping cleaners,37-2012,Line item,1212.8,1350.3,137.5,11.3,11.7,183.3,"$28,780",No formal educational credential,None,Short-term on-the-job training
"Building cleaning workers, all other",37-2019,Line item,18.4,19.1,0.7,3.5,7.3,2.6,"$34,350",No formal educational credential,None,Short-term on-the-job training
Pest control workers,37-2021,Line item,86.8,95.0,8.2,9.5,6.6,12.8,"$37,540",High school diploma or equivalent,None,Moderate-term on-the-job training
Grounds maintenance workers,37-3000,Summary,1226.9,1319.5,92.6,7.6,20.4,173.2,"$35,460",—,—,—
Landscaping and groundskeeping workers,37-3011,Line item,1117.8,1202.8,85.0,7.6,20.9,157.9,"$34,430",No formal educational credential,None,Short-term on-the-job training
"Pesticide handlers, sprayers, and applicators, vegetation",37-3012,Line item,27.3,29.6,2.3,8.3,6.2,3.9,"$38,270",High school diploma or equivalent,None,Moderate-term on-the-job training
Tree trimmers and pruners,37-3013,Line item,66.4,70.5,4.1,6.1,20.2,9.2,"$46,970",High school diploma or equivalent,None,Short-term on-the-job training
"Grounds maintenance workers, all other",37-3019,Line item,15.3,16.6,1.3,8.6,4.2,2.2,"$36,540",No formal educational credential,None,Short-term on-the-job training
Personal care and service occupations,39-0000,Summary,3870.4,4711.4,841.0,21.7,20.1,685.0,"$29,450",—,—,—
Supervisors of personal care and service workers,39-1000,Summary,222.4,275.5,53.1,23.9,9.7,31.7,"$45,070",—,—,—
First-line supervisors of gambling services workers,39-1013,Line item,22.0,26.7,4.7,21.4,6.8,3.0,"$49,140",High school diploma or equivalent,Less than 5 years,None
"First-line supervisors of personal service and entertainment and recreation workers, except gambling services",39-1098,Line item,200.4,248.8,48.4,24.2,10.0,28.6,—,High school diploma or equivalent,Less than 5 years,None
Animal care and service workers,39-2000,Summary,332.7,443.4,110.8,33.3,29.3,66.2,"$28,730",—,—,—
Animal trainers,39-2011,Line item,60.2,77.4,17.2,28.5,44.4,9.9,"$31,280",High school diploma or equivalent,None,Moderate-term on-the-job training
Animal caretakers,39-2021,Line item,272.4,366.1,93.6,34.4,25.9,56.4,"$28,600",High school diploma or equivalent,None,Short-term on-the-job training
Entertainment attendants and related workers,39-3000,Summary,460.2,626.6,166.5,36.2,0.6,125.9,"$24,960",—,—,—
Gambling services workers,39-3010,Summary,91.3,113.8,22.6,24.7,1.6,17.1,"$25,630",—,—,—
Gambling dealers,39-3011,Line item,74.1,91.9,17.8,24.0,1.5,13.8,"$24,960",High school diploma or equivalent,None,Short-term on-the-job training
Gambling and sports book writers and runners,39-3012,Line item,8.0,10.3,2.3,28.5,2.0,1.5,"$27,530",High school diploma or equivalent,None,Short-term on-the-job training
"Gambling service workers, all other",39-3019,Line item,9.2,11.7,2.5,27.2,1.8,1.8,"$28,990",High school diploma or equivalent,None,Short-term on-the-job training
Motion picture projectionists,39-3021,Line item,1.7,2.9,1.2,70.5,—,0.6,"$29,350",No formal educational credential,None,Short-term on-the-job training
"Ushers, lobby attendants, and ticket takers",39-3031,Line item,81.5,131.9,50.4,61.8,—,29.4,"$24,440",No formal educational credential,None,Short-term on-the-job training
Miscellaneous entertainment attendants and related workers,39-3090,Summary,285.7,378.0,92.3,32.3,0.5,78.8,"$24,800",—,—,—
Amusement and recreation attendants,39-3091,Line item,264.4,349.8,85.4,32.3,0.5,72.9,"$24,500",No formal educational credential,None,Short-term on-the-job training
Costume attendants,39-3092,Line item,5.4,7.7,2.4,44.3,—,1.6,"$47,850",High school diploma or equivalent,None,Short-term on-the-job training
"Locker room, coatroom, and dressing room attendants",39-3093,Line item,12.0,15.2,3.2,26.3,0.5,3.2,"$28,570",High school diploma or equivalent,None,Short-term on-the-job training
"Entertainment attendants and related workers, all other",39-3099,Line item,3.9,5.3,1.4,35.4,—,1.1,"$24,170",High school diploma or equivalent,None,Short-term on-the-job training
Embalmers,39-4011,Line item,5.0,5.0,0.0,-0.6,17.5,0.7,"$47,780",Associate's degree,None,Long-term on-the-job training
Funeral attendants,39-4021,Line item,42.3,43.7,1.4,3.3,17.6,5.8,"$29,230",High school diploma or equivalent,None,Short-term on-the-job training
"Morticians, undertakers, and funeral arrangers",39-4031,Line item,25.0,26.1,1.0,4.1,1.1,3.1,"$48,950",Associate's degree,None,Long-term on-the-job training
Personal appearance workers,39-5000,Summary,828.3,1012.2,184.0,22.2,41.7,116.4,"$29,590",—,—,—
"Barbers, hairdressers, hairstylists and cosmetologists",39-5010,Summary,622.7,742.4,119.8,19.2,45.1,85.3,"$29,680",—,—,—
Barbers,39-5011,Line item,53.0,62.3,9.3,17.5,69.3,6.4,"$29,970",Postsecondary nondegree award,None,None
"Hairdressers, hairstylists, and cosmetologists",39-5012,Line item,569.6,680.1,110.5,19.4,42.8,78.9,"$29,670",Postsecondary nondegree award,None,None
Miscellaneous personal appearance workers,39-5090,Summary,205.6,269.8,64.2,31.2,31.5,31.1,"$29,450",—,—,—
"Makeup artists, theatrical and performance",39-5091,Line item,3.1,4.2,1.1,37.0,19.2,0.5,"$134,750",Postsecondary nondegree award,None,None
Manicurists and pedicurists,39-5092,Line item,123.0,163.1,40.1,32.6,35.2,18.8,"$29,210",Postsecondary nondegree award,None,None
Shampooers,39-5093,Line item,10.8,14.1,3.2,29.8,16.1,1.6,"$24,440",No formal educational credential,None,Short-term on-the-job training
Skincare specialists,39-5094,Line item,68.7,88.4,19.8,28.8,27.9,10.1,"$37,300",Postsecondary nondegree award,None,None
"Baggage porters, bellhops, and concierges",39-6000,Summary,65.6,80.0,14.4,22.0,—,10.8,"$30,720",—,—,—
Baggage porters and bellhops,39-6011,Line item,28.6,35.6,7.0,24.5,—,4.8,"$29,120",High school diploma or equivalent,None,Short-term on-the-job training
Concierges,39-6012,Line item,37.1,44.5,7.4,20.0,—,6.0,"$35,210",High school diploma or equivalent,None,Moderate-term on-the-job training
Tour and travel guides,39-7000,Summary,44.0,56.8,12.8,29.1,12.4,9.2,"$29,780",—,—,—
Tour and travel guides,39-7010,Line item,44.0,56.8,12.8,29.1,12.4,9.2,"$29,780",High school diploma or equivalent,None,Moderate-term on-the-job training
Childcare workers,39-9011,Line item,992.4,1076.6,84.2,8.5,22.6,150.3,"$27,490",High school diploma or equivalent,None,Short-term on-the-job training
Recreation and fitness workers,39-9030,Summary,663.9,843.3,179.5,27.0,9.1,133.6,"$30,930",—,—,—
Exercise trainers and group fitness instructors,39-9031,Line item,309.8,431.4,121.7,39.3,18.3,69.1,"$40,700",High school diploma or equivalent,None,Short-term on-the-job training
Recreation workers,39-9032,Line item,354.1,411.9,57.8,16.3,1.0,64.6,"$29,680",High school diploma or equivalent,None,Short-term on-the-job training
Residential advisors,39-9041,Line item,108.2,121.6,13.4,12.4,—,17.5,"$31,220",High school diploma or equivalent,None,Short-term on-the-job training
"Crematory operators and personal care and service workers, all other",39-9098,Line item,80.5,100.5,19.9,24.8,15.6,13.9,"$29,610",High school diploma or equivalent,None,Short-term on-the-job training
Sales and related occupations,41-0000,Summary,14393.6,14190.7,-202.9,-1.4,7.8,1838.6,"$30,600",—,—,—
Supervisors of sales workers,41-1000,Summary,1767.0,1658.0,-109.0,-6.2,25.5,162.3,"$46,850",—,—,—
First-line supervisors of retail sales workers,41-1011,Line item,1390.6,1300.4,-90.2,-6.5,22.7,131.8,"$39,230",High school diploma or equivalent,Less than 5 years,None
First-line supervisors of non-retail sales workers,41-1012,Line item,376.4,357.6,-18.8,-5.0,35.7,30.6,"$79,680",High school diploma or equivalent,Less than 5 years,None
Retail sales workers,41-2000,Summary,7858.8,7527.6,-331.2,-4.2,1.9,1154.1,"$28,680",—,—,—
Cashiers,41-2010,Summary,3393.8,3060.0,-333.8,-9.8,0.2,550.1,"$27,280",—,—,—
Cashiers,41-2011,Line item,3379.1,3042.7,-336.4,-10.0,0.2,546.9,"$27,260",No formal educational credential,None,Short-term on-the-job training
Gambling change persons and booth cashiers,41-2012,Line item,14.7,17.3,2.7,18.1,—,3.2,"$28,600",No formal educational credential,None,Short-term on-the-job training
Counter and rental clerks and parts salespersons,41-2020,Summary,629.9,671.9,42.0,6.7,0.4,79.4,"$31,780",—,—,—
Counter and rental clerks,41-2021,Line item,372.1,401.5,29.4,7.9,0.2,46.8,"$31,330",No formal educational credential,None,Short-term on-the-job training
Parts salespersons,41-2022,Line item,257.8,270.4,12.6,4.9,0.7,32.6,"$34,260",No formal educational credential,None,Moderate-term on-the-job training
Retail salespersons,41-2031,Line item,3835.0,3795.7,-39.3,-1.0,3.5,524.5,"$29,120",No formal educational credential,None,Short-term on-the-job training
"Sales representatives, services",41-3000,Summary,2134.3,2293.2,158.9,7.4,5.1,241.7,"$60,550",—,—,—
Advertising sales agents,41-3011,Line item,115.1,118.7,3.6,3.1,5.8,14.8,"$52,340",High school diploma or equivalent,None,Moderate-term on-the-job training
Insurance sales agents,41-3021,Line item,507.2,542.7,35.5,7.0,13.0,50.4,"$49,840",High school diploma or equivalent,None,Moderate-term on-the-job training
"Securities, commodities, and financial services sales agents",41-3031,Line item,466.3,485.8,19.5,4.2,3.9,42.5,"$62,910",Bachelor's degree,None,Moderate-term on-the-job training
Travel agents,41-3041,Line item,60.5,63.8,3.3,5.4,14.0,7.5,"$43,810",High school diploma or equivalent,None,Moderate-term on-the-job training
"Sales representatives of services, except advertising, insurance, financial services, and travel",41-3091,Line item,985.2,1082.1,97.0,9.8,1.0,126.5,"$60,550",High school diploma or equivalent,None,Moderate-term on-the-job training
"Sales representatives, wholesale and manufacturing",41-4000,Summary,1625.7,1703.3,77.6,4.8,3.2,169.4,"$62,890",—,—,—
"Sales representatives, wholesale and manufacturing, technical and scientific products",41-4011,Line item,298.2,316.5,18.2,6.1,3.2,31.7,"$94,840",Bachelor's degree,None,Moderate-term on-the-job training
"Sales representatives, wholesale and manufacturing, except technical and scientific products",41-4012,Line item,1327.5,1386.8,59.4,4.5,3.2,137.8,"$61,600",High school diploma or equivalent,None,Moderate-term on-the-job training
Other sales and related workers,41-9000,Summary,1007.9,1008.6,0.8,0.1,36.9,111.0,"$36,590",—,—,—
"Models, demonstrators, and product promoters",41-9010,Summary,78.9,84.8,5.9,7.5,8.6,15.1,"$32,730",—,—,—
Demonstrators and product promoters,41-9011,Line item,76.3,81.9,5.6,7.3,8.6,14.6,"$32,350",No formal educational credential,None,Short-term on-the-job training
Models,41-9012,Line item,2.7,3.0,0.3,11.4,6.9,0.5,—,No formal educational credential,None,None
Real estate brokers and sales agents,41-9020,Summary,518.8,540.6,21.8,4.2,57.8,47.5,"$48,770",—,—,—
Real estate brokers,41-9021,Line item,109.9,114.8,4.9,4.5,58.3,10.1,"$62,010",High school diploma or equivalent,Less than 5 years,None
Real estate sales agents,41-9022,Line item,408.9,425.8,16.9,4.1,57.6,37.4,"$48,340",High school diploma or equivalent,None,Moderate-term on-the-job training
Sales engineers,41-9031,Line item,63.8,68.8,5.0,7.9,—,7.3,"$103,710",Bachelor's degree,None,Moderate-term on-the-job training
Telemarketers,41-9041,Line item,119.7,97.8,-21.9,-18.3,2.6,13.9,"$28,910",No formal educational credential,None,Short-term on-the-job training
Miscellaneous sales and related workers,41-9090,Summary,226.6,216.5,-10.1,-4.5,27.6,27.2,"$29,570",—,—,—
"Door-to-door sales workers, news and street vendors, and related workers",41-9091,Line item,54.0,41.0,-13.0,-24.1,84.6,4.7,"$29,390",No formal educational credential,None,Short-term on-the-job training
"Sales and related workers, all other",41-9099,Line item,172.6,175.5,2.9,1.7,9.8,22.5,"$29,570",High school diploma or equivalent,None,None
Office and administrative support occupations,43-0000,Summary,19554.7,19015.6,-539.2,-2.8,1.6,2062.8,"$38,050",—,—,—
Supervisors of office and administrative support workers,43-1000,Summary,1487.3,1464.4,-22.9,-1.5,0.7,142.7,"$60,590",—,—,—
First-line supervisors of office and administrative support workers,43-1011,Line item,1487.3,1464.4,-22.9,-1.5,0.7,142.7,"$60,590",High school diploma or equivalent,Less than 5 years,None
Communications equipment operators,43-2000,Summary,69.1,54.8,-14.2,-20.6,1.7,5.4,"$30,720",—,—,—
"Switchboard operators, including answering service",43-2011,Line item,59.9,46.3,-13.6,-22.7,—,4.5,"$30,150",High school diploma or equivalent,None,Short-term on-the-job training
Telephone operators,43-2021,Line item,4.8,3.6,-1.2,-25.4,—,0.4,"$37,630",High school diploma or equivalent,None,Short-term on-the-job training
"Communications equipment operators, all other",43-2099,Line item,4.4,5.0,0.6,13.8,27.6,0.5,"$47,000",High school diploma or equivalent,None,Short-term on-the-job training
